commodity_desc,statisticcat_desc,unit_desc,short_desc,agg_level_desc,state_alpha,state_name,year,freq_desc,reference_period_desc,Value,value_num,load_time
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2019,POINT IN TIME,FIRST OF DEC,"11,820,322,000",11820322000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2018,POINT IN TIME,FIRST OF MAR,"8,892,126,000",8892126000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2018,POINT IN TIME,FIRST OF JUN,"5,304,804,000",5304804000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2018,POINT IN TIME,FIRST OF SEP,"2,140,335,000",2140335000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2018,POINT IN TIME,FIRST OF DEC,"12,286,508,000",12286508000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2017,POINT IN TIME,FIRST OF MAR,"8,621,992,000",8621992000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2017,POINT IN TIME,FIRST OF JUN,"5,229,082,000",5229082000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2017,POINT IN TIME,FIRST OF SEP,"2,293,303,000",2293303000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2017,POINT IN TIME,FIRST OF DEC,"12,566,501,000",12566501000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2016,POINT IN TIME,FIRST OF MAR,"7,822,233,000",7822233000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2016,POINT IN TIME,FIRST OF JUN,"4,711,079,000",4711079000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2016,POINT IN TIME,FIRST OF SEP,"1,737,058,000",1737058000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2016,POINT IN TIME,FIRST OF DEC,"12,383,471,000",12383471000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2015,POINT IN TIME,FIRST OF MAR,"7,749,806,000",7749806000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2015,POINT IN TIME,FIRST OF JUN,"4,452,988,000",4452988000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2015,POINT IN TIME,FIRST OF SEP,"1,731,164,000",1731164000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",NATIONAL,US,US TOTAL,2015,POINT IN TIME,FIRST OF DEC,"11,235,178,000",11235178000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2026,POINT IN TIME,FIRST OF MAR,"500,584,000",500584000.0,2026-06-30 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2026,POINT IN TIME,FIRST OF JUN,"285,352,000",285352000.0,2026-06-30 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2025,POINT IN TIME,FIRST OF MAR,"400,779,000",400779000.0,2026-01-12 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2025,POINT IN TIME,FIRST OF JUN,"222,748,000",222748000.0,2026-01-12 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2025,POINT IN TIME,FIRST OF SEP,"116,079,000",116079000.0,2026-01-12 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2025,POINT IN TIME,FIRST OF DEC,"716,338,000",716338000.0,2026-03-31 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2024,POINT IN TIME,FIRST OF MAR,"502,574,000",502574000.0,2025-01-10 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2024,POINT IN TIME,FIRST OF JUN,"289,174,000",289174000.0,2025-01-10 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2024,POINT IN TIME,FIRST OF SEP,"134,527,000",134527000.0,2025-01-10 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2024,POINT IN TIME,FIRST OF DEC,"539,725,000",539725000.0,2026-01-12 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2023,POINT IN TIME,FIRST OF MAR,"427,749,000",427749000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2023,POINT IN TIME,FIRST OF JUN,"242,603,000",242603000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2023,POINT IN TIME,FIRST OF SEP,"106,951,000",106951000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2023,POINT IN TIME,FIRST OF DEC,"717,328,000",717328000.0,2025-01-10 12:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2022,POINT IN TIME,FIRST OF MAR,"475,894,000",475894000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2022,POINT IN TIME,FIRST OF JUN,"271,524,000",271524000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2022,POINT IN TIME,FIRST OF SEP,"128,930,000",128930000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2022,POINT IN TIME,FIRST OF DEC,"536,994,000",536994000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2021,POINT IN TIME,FIRST OF MAR,"447,858,000",447858000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2021,POINT IN TIME,FIRST OF JUN,"262,539,000",262539000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2021,POINT IN TIME,FIRST OF SEP,"133,239,000",133239000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2021,POINT IN TIME,FIRST OF DEC,"643,463,000",643463000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2020,POINT IN TIME,FIRST OF MAR,"584,438,000",584438000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2020,POINT IN TIME,FIRST OF JUN,"323,540,000",323540000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2020,POINT IN TIME,FIRST OF SEP,"126,360,000",126360000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2020,POINT IN TIME,FIRST OF DEC,"676,672,000",676672000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2019,POINT IN TIME,FIRST OF MAR,"504,900,000",504900000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2019,POINT IN TIME,FIRST OF JUN,"289,346,000",289346000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2019,POINT IN TIME,FIRST OF SEP,"125,795,000",125795000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2019,POINT IN TIME,FIRST OF DEC,"784,511,000",784511000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2018,POINT IN TIME,FIRST OF MAR,"487,387,000",487387000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2018,POINT IN TIME,FIRST OF JUN,"271,737,000",271737000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2018,POINT IN TIME,FIRST OF SEP,"119,063,000",119063000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2018,POINT IN TIME,FIRST OF DEC,"702,188,000",702188000.0,2024-01-09 15:00:00
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2017,POINT IN TIME,FIRST OF MAR,"492,830,000",492830000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2017,POINT IN TIME,FIRST OF JUN,"261,376,000",261376000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2017,POINT IN TIME,FIRST OF SEP,"108,173,000",108173000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2017,POINT IN TIME,FIRST OF DEC,"716,263,000",716263000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2016,POINT IN TIME,FIRST OF MAR,"454,037,000",454037000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2016,POINT IN TIME,FIRST OF JUN,"265,479,000",265479000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2016,POINT IN TIME,FIRST OF SEP,"100,956,000",100956000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2016,POINT IN TIME,FIRST OF DEC,"753,712,000",753712000.0,2019-02-06 15:00:06
CORN,STOCKS,BU,"CORN, GRAIN - STOCKS, MEASURED IN BU",STATE,OT,OTHER STATES,2015,POINT IN TIME,FIRST OF MAR,"448,667,000",448667000.0,2019-02-06 15:00:06
