source_file,report_month,commodity,marketing_year,estimate_type,vintage,column_order,metric,metric_key,unit,value
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,May,3,Feed and Residual,feed_and_residual,Million Bushels,6100.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,May,3,"Food,Seed& Industrial",food_seedand_industrial,Million Bushels,6955.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,May,3,Imports,imports,Million Bushels,25.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,May,3,Production,production,Million Bushels,15995.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,May,3,"Supply, Total",supply_total,Million Bushels,18162.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,May,3,"Use, Total",use_total,Million Bushels,16205.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,May,3,Yield per Harvested Acre,yield_per_harvested_acre,Bushels,183.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Area Harvested,area_harvested,Million Acres,87.4
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Area Planted,area_planted,Million Acres,95.3
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Avg.FarmPrice ($/bu),avg_farmprice_bu,$/bu,4.4
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Beginning Stocks,beginning_stocks,Million Bushels,2145.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,"Domestic, Total",domestic_total,Million Bushels,13055.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Ending Stocks,ending_stocks,Million Bushels,1960.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Ethanol & by-products,ethanol_and_by_products,Million Bushels,5600.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Exports,exports,Million Bushels,3150.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Feed and Residual,feed_and_residual,Million Bushels,6100.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,"Food,Seed& Industrial",food_seedand_industrial,Million Bushels,6955.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Imports,imports,Million Bushels,25.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Production,production,Million Bushels,15995.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,"Supply, Total",supply_total,Million Bushels,18165.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,"Use, Total",use_total,Million Bushels,16205.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,CORN,2026/27,projection,Jun,4,Yield per Harvested Acre,yield_per_harvested_acre,Bushels,183.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Area Harvested,area_harvested,Million Acres,86.2
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Area Planted,area_planted,Million Acres,87.3
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Avg.FarmPrice ($/bu),avg_farmprice_bu,$/bu,10.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Beginning Stocks,beginning_stocks,Million Bushels,342.0
