commodity_desc,statisticcat_desc,unit_desc,short_desc,prodn_practice_desc,util_practice_desc,agg_level_desc,state_alpha,state_name,year,freq_desc,begin_code,end_code,reference_period_desc,Value,value_num,load_time
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,06,06,JUN,"5,504,777",5504777.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,07,07,JUL,"5,798,234",5798234.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,08,08,AUG,"5,026,648",5026648.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,09,09,SEP,"5,595,095",5595095.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,10,10,OCT,"6,473,504",6473504.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,11,11,NOV,"6,301,225",6301225.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2024,MONTHLY,12,12,DEC,"6,531,043",6531043.0,2025-03-03 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,01,01,JAN,"5,734,398",5734398.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,02,02,FEB,"5,306,995",5306995.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,03,03,MAR,"5,939,012",5939012.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,04,04,APR,"5,609,607",5609607.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,05,05,MAY,"5,679,096",5679096.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,06,06,JUN,"5,236,516",5236516.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,07,07,JUL,"5,545,001",5545001.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,08,08,AUG,"5,069,870",5069870.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,09,09,SEP,"5,242,931",5242931.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,10,10,OCT,"6,041,685",6041685.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,11,11,NOV,"6,002,708",6002708.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2023,MONTHLY,12,12,DEC,"6,128,558",6128558.0,2024-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,01,01,JAN,"5,828,974",5828974.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,02,02,FEB,"5,232,453",5232453.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,03,03,MAR,"5,786,159",5786159.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,04,04,APR,"5,426,712",5426712.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,05,05,MAY,"5,427,160",5427160.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,06,06,JUN,"5,222,412",5222412.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,07,07,JUL,"5,441,780",5441780.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,08,08,AUG,"5,252,619",5252619.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,09,09,SEP,"5,028,287",5028287.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,10,10,OCT,"5,899,694",5899694.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,11,11,NOV,"5,687,098",5687098.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2022,MONTHLY,12,12,DEC,"5,622,561",5622561.0,2023-03-01 15:00:00
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,01,01,JAN,"5,895,360",5895360.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,02,02,FEB,"4,930,499",4930499.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,03,03,MAR,"5,646,728",5646728.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,04,04,APR,"5,095,631",5095631.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,05,05,MAY,"5,205,032",5205032.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,06,06,JUN,"4,852,334",4852334.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,07,07,JUL,"4,989,996",4989996.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,08,08,AUG,"5,047,776",5047776.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,09,09,SEP,"4,924,574",4924574.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,10,10,OCT,"5,908,157",5908157.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,11,11,NOV,"5,717,943",5717943.0,2022-03-01 15:00:12
